occ_code,task_id,pi,normalized_time
11-3031.01,8873,0.1455429444049705,0.0089285714285714
11-3031.01,8874,0.1446199982144864,0.0178571428571428
11-3031.01,8875,0.1125015212205517,0.0178571428571428
11-3031.01,20168,0.0094034469125422,0.0892857142857142
11-3031.01,20169,0.1046853020005712,0.0178571428571428
11-3031.03,15670,0.095973943393182,0.0231213872832369
11-3051.01,15411,0.0936445189164093,0.0408163265306122
11-3051.01,15412,0.1054187797576023,0.0272108843537414
11-3051.01,15419,0.077574886051937,0.0204081632653061
11-3051.01,15424,0.0262304532631148,0.0476190476190476
11-3051.01,15425,0.0387969045733345,0.0340136054421768
11-3051.06,15507,0.0630964008119267,0.04
11-3051.06,15513,0.0298741486700166,0.08
11-3061.00,1020,0.0595031188075667,0.0357142857142857
11-3061.00,1021,0.022199777548053,0.0892857142857142
11-3061.00,1022,0.1287107739465482,0.0535714285714285
11-3061.00,1023,0.011514848073517,0.0446428571428571
11-3061.00,1024,0.0316744112475279,0.0357142857142857
11-3061.00,1025,0.0773056322692412,0.0714285714285714
11-3061.00,1026,0.014247280392052,0.0535714285714285
11-3061.00,1027,0.0195857958322176,0.0357142857142857
11-3061.00,1028,0.0693350109253707,0.0357142857142857
11-3061.00,1029,0.0330150713212281,0.0446428571428571
11-3061.00,1030,0.0477254529161389,0.1071428571428571
11-3061.00,1031,0.0739904333243729,0.0625
11-3061.00,1032,0.0621028809532036,0.1428571428571428
11-3061.00,1033,0.0329554208660133,0.0267857142857142
11-3061.00,1034,0.0681279435548922,0.0446428571428571
11-3061.00,1035,0.15787684894796,0.0357142857142857
11-3061.00,1036,0.0645235854220819,0.0089285714285714
11-3061.00,21039,0.0256057136520139,0.0714285714285714
11-3071.00,21340,0.0461943543112971,0.1019108280254777
11-3071.00,21341,0.0200340175287402,0.0254777070063694
11-3071.00,21342,0.020092406528883,0.0382165605095541
11-3071.00,21343,0.0481265313605953,0.0764331210191082
11-3071.00,21344,0.013068272167401,0.0509554140127388
11-3071.00,21345,0.0064279026488487,0.0382165605095541
11-3071.00,21346,0.0165787046026579,0.0636942675159235
11-3071.00,21347,0.032869308625548,0.019108280254777
11-3071.00,21348,0.059778360821533,0.0509554140127388
11-3071.00,21349,0.013600367311606,0.0254777070063694
11-3071.00,21350,0.0380028477192068,0.0382165605095541
11-3071.00,21351,0.0076329102435442,0.0254777070063694
11-3071.00,21352,0.0165529615315524,0.019108280254777
11-3071.00,21353,0.0861809546025564,0.0254777070063694
11-3071.00,21354,0.0879247511654847,0.0127388535031847
11-3071.00,21355,0.0033898282531138,0.0254777070063694
11-3071.00,21356,0.1069995466460802,0.0127388535031847
11-3071.00,21357,0.0721750163227877,0.0254777070063694
11-3071.00,21358,0.0182052930404101,0.0382165605095541
11-3071.00,21359,0.0029455444651197,0.019108280254777
11-3071.00,21360,0.0110641909714334,0.0382165605095541
11-3071.00,21361,0.0798383103929522,0.0254777070063694
11-3071.00,21362,0.0923914886807731,0.0063694267515923
11-3071.00,21363,0.0210922869274771,0.019108280254777
