onetsoc_code,task_id,pi,SE_pi
29-1041.00,340,0.08135776303343736,0.0
29-1041.00,341,0.16137586153197828,0.0
29-1041.00,342,0.03346298641969242,0.0
29-1041.00,343,0.0055190532427140514,0.0
29-1041.00,344,0.03706765538922623,0.0
29-1041.00,345,0.06184684358922076,0.0
29-1041.00,346,0.0302886728003914,0.0
29-1122.00,347,0.13571217245580794,0.0
29-1122.00,348,0.08514094343349257,0.0
29-1122.00,349,0.07155038205211647,0.0
29-1122.00,350,0.11661367497962849,0.0
29-1122.00,351,0.10911813008356251,0.0
29-1122.00,352,0.05003144639063368,0.0
29-1122.00,353,0.05948254062662935,0.0
29-1122.00,354,0.03887735274598462,0.0
29-1122.00,355,0.040859868574904944,0.0
29-1122.00,356,0.01625343388465352,0.0
29-1122.00,357,0.03561679570835708,0.0
29-1122.00,358,0.09430432106971172,0.0
29-1122.00,359,0.06876997267143312,0.0
29-1122.00,360,0.015664928895907624,0.0
29-1122.00,361,0.005377949388467782,0.0
29-1122.00,362,0.0029265999404835654,0.0
29-1123.00,363,0.09476717031207436,0.01011572679571238
29-1123.00,364,0.04317362736837776,0.005415609556522253
29-1123.00,365,0.08297205906911823,0.009961903184159189
29-1123.00,366,0.08290834665691242,0.009554424507558251
29-1123.00,367,0.04348384131558836,0.005598311823785743
29-1123.00,368,0.07348376687264302,0.009154994804287048
29-1123.00,369,0.043302123267640644,0.005751274501322722
29-1123.00,370,0.08545553236776086,0.010446010995612067
29-1123.00,371,0.05692905750631434,0.008853755122562727
29-1123.00,372,0.01569338056697501,0.002215112168724389
29-1123.00,373,0.059388687604478366,0.006179808871439247
29-1123.00,374,0.05318339421393126,0.0058716507895657495
29-1123.00,375,0.052853987683244015,0.008573147036980512
29-1123.00,377,0.07894010127860863,0.009979646765769049
29-1123.00,378,0.05396320558288419,0.015408767228335797
29-1123.00,379,0.0049580805525458755,0.0015647775001289912
29-1123.00,380,0.0025945422106587865,0.0010364299529415978
29-1123.00,381,0.03478995961549462,0.005378359311917308
29-1123.00,382,0.007628826548202697,0.0012510365832509405
29-1123.00,383,0.013449410197208266,0.004303264381256091
29-1123.00,384,0.0011955379379278265,0.0006738740432376969
29-1123.00,385,0.0038187744925797626,0.001126156970045013
29-1123.00,386,0.005776680264729287,0.004483503705871841
29-1125.00,387,0.11944909161322263,0.0
29-1125.00,388,0.0656439277544652,0.0
29-1125.00,389,0.09035490132331218,0.0
29-1125.00,390,0.10742528810390548,0.0
29-1125.00,391,0.06323265680794268,0.0
29-1125.00,392,0.11700092616120229,0.0
29-1125.00,393,0.16534457182748905,0.0
29-1125.00,394,0.07445912317482858,0.0
29-1125.00,395,0.0971429335106006,0.0
29-1125.00,396,0.06816523613825626,0.0
29-1126.00,397,0.07229361754086634,0.005886081396173588
29-1126.00,398,0.01456312991669416,0.002524096370208989
29-1126.00,399,0.069378384031133,0.006978223575663757
29-1126.00,400,0.10064872275489574,0.005897183624770187
29-1126.00,401,0.0620918538821125,0.005312110480869787
29-1126.00,403,0.06572927210830078,0.006464625417873315
29-1126.00,404,0.10824291089020516,0.007980501365420053
29-1126.00,405,0.04278420272181691,0.00465910086699968
29-1126.00,406,0.042135711608224505,0.004427112177308379
29-1126.00,407,0.0581019507992288,0.004512597795008394
29-1126.00,408,0.03624831914156826,0.004775303080500931
29-1126.00,409,0.01810042440313997,0.0041792156491212715
29-1126.00,410,0.05373688038749172,0.006746473768488361
29-1126.00,411,0.021523980830244763,0.004627812389001959
29-1126.00,412,0.01554140903064096,0.004287846166405398
29-1126.00,413,0.023874894960046324,0.003991837417808506
29-1126.00,414,0.0234274133615429,0.003761926133889033
29-1126.00,415,0.03470773635901966,0.005061981128050164
29-1292.00,416,0.12093623206043283,0.008491797258394981
29-1292.00,417,0.12880730170432017,0.006226247019374758
29-1292.00,418,0.09197341413901342,0.00945690094792202
29-1292.00,419,0.0591034310764911,0.007857483868045584
29-1292.00,420,0.04816516887380298,0.006050344519829173
29-1292.00,421,0.11126859991868233,0.008090975973494847
29-1292.00,422,0.07442532075087052,0.012976077615929974
29-1292.00,424,0.004985343813846772,0.002333137957336891
29-1292.00,425,0.0003319706967513463,0.00019032200193674816
29-1292.00,427,0.021831182540596218,0.005796198585950458
29-2032.00,431,0.0892101951379581,0.0033116292878944778
29-2032.00,432,0.09352960285174261,0.002470093206989825
29-2032.00,434,0.08247030336299287,0.0038913182653951984
29-2032.00,435,0.088927833507837,0.0036519940782825167
29-2032.00,436,0.09304452163814875,0.0034155700530231464
29-2032.00,437,0.06278775188479514,0.00408840026705813
29-2032.00,438,0.03823709871277215,0.0049784306236140795
29-2032.00,439,0.07757521695623454,0.005026079046143342
29-2032.00,440,0.08196516400969159,0.004301838764811613
29-2032.00,441,0.06414291554965565,0.004999028845880631
29-2032.00,442,0.035324942426645384,0.0032116559336374515
29-2032.00,443,0.05820176020402061,0.00459115642113678
29-2032.00,444,0.01199744534764648,0.003815485358061355
29-2032.00,445,0.018821575178568084,0.004297273050317157
29-2032.00,446,0.01693759267809459,0.0028468139761470873
